n,title,is_pr,state,created,closed,author,comments,labels
860,makes kde lag,False,CLOSED,2024-03-11,2024-11-24,Shoxx98,3,
861,[feature request] system-wide configuration,False,OPEN,2024-03-13,,Artim96,0,
863,"Combos involving ""parenleft"" and ""parenright"" don't work as expected.",False,OPEN,2024-03-15,,lululock71,1,
865,Double click remapping to keyboard key messes with mouse keys operation,False,OPEN,2024-03-22,,MikeAnblips,1,
866,Meta key no longer getting injected,False,OPEN,2024-03-25,,zany130,0,
868,Feature request: Automatically switch preset depending on focused window ,False,OPEN,2024-03-28,,robmart,2,
869,How to use macros?,False,OPEN,2024-03-29,,pH142857,2,
870,Macro for App Switcher while holding ALT-TAB ?,False,OPEN,2024-04-04,,matt22207,1,
872,Option to bypass mapping on if_eq condition fail,False,OPEN,2024-04-09,,amot-dev,0,
873,Tartarus V2 seen as mouse instead of keyboard,False,OPEN,2024-04-09,,ashmonger,2,
874,"German umlaut keys (ü, ä ...) and Eszett key (ß)",False,CLOSED,2024-04-17,2024-10-10,Cash-coder,5,
875,How to bind keyboard keys as gamepad joystick axis?,False,OPEN,2024-04-19,,quidamphx,17,
877,Multiple Devices as Inputs,False,OPEN,2024-04-24,,Zeoic,0,
878,GUI not starting due to missing `pkexec` (Debian 12 KDE),False,OPEN,2024-04-24,,watty888,4,
879,"Won't auto-start, have to manually start for each device on every login",False,OPEN,2024-04-28,,tigger-developer,9,
880,"Mapped Grave to Escape, Can't Map Escape to Grave/Tilde",False,OPEN,2024-04-28,,mtk,2,
881,Max macro length?,False,OPEN,2024-04-28,,Aycros,0,
882,Can't use Input Remapper with Python 3.12 on EndeavourOS (Arch Linux),False,CLOSED,2024-04-29,2024-04-30,daniloraisi,3,
884,Can't map and record keys,False,OPEN,2024-05-04,,Moanrisy,1,
885,GUI not working and Authentication failure,False,OPEN,2024-05-04,,RogFyr,0,
886,Input Remapper crashes when I click Editor,False,CLOSED,2024-05-07,2024-07-21,rootusercisco,3,
888,Breaks keyboard,False,CLOSED,2024-05-10,2024-06-04,rbits0,2,
891,Can not install input-remapper 2.0.1,False,OPEN,2024-05-14,,midigark,3,
892,autoloading is not working after reboot,False,OPEN,2024-05-16,,c02y,0,
893,Mapping a combo involving the dpad disables the dpad for the original controller,False,CLOSED,2024-05-18,2026-04-15,zany130,5,
894,Unable to map mouse to start + right stick,False,OPEN,2024-05-19,,zany130,0,
895,Module missing,False,CLOSED,2024-05-20,2024-10-29,Axilotl17,13,
897,Ubuntu 24.04 | unmet dependencies error,False,OPEN,2024-05-24,,sulliwane,0,
899,Tartarus V2 scroll wheel sends rebinds and mouse wheel commands at the same time,False,CLOSED,2024-05-25,2024-05-28,jonstump,1,
900,Map + and - input axis values to different output axes,False,OPEN,2024-05-27,,TRPB,1,
901,GUI sees mouse. CLI tool does not.,False,CLOSED,2024-05-28,2024-05-30,jonstump,1,
902,Input Remapper not preventing original key function,False,OPEN,2024-06-05,,jvadair,11,
903,"Attempting to stop and start mapping from the command line ERROR: Device ""AT Translated Set 2 keyboard"" is unknown or not an appropriate input device",False,CLOSED,2024-06-06,2024-06-06,v3ai,1,
904,How do I open the input remapper application?,False,OPEN,2024-06-07,,Bingo995,1,
905,Crashes on NixOS,False,OPEN,2024-06-07,,mem101296,3,
906,Feature Request : Additional mouse acceleration curves,False,OPEN,2024-06-08,,TheOverpassArsonist,1,
909,[Feature Request] Add the possibility to map a joystick to absolute mouse position.,False,OPEN,2024-06-15,,sabudum,3,
911,ERROR: got Future <Future pending> attached to a different loop,False,OPEN,2024-06-20,,alfem,2,
912,[Feature request] support for program specific profiles,False,CLOSED,2024-06-21,2026-04-05,poopman97,1,
913,Is it possibile to use hold function with two keys or not??,False,CLOSED,2024-06-22,2024-06-26,edofe99,3,
914,Non US-english keyboard,False,OPEN,2024-06-23,,philemonholland,0,
915,keys not being remapped stop working after starting injecting.,False,OPEN,2024-06-26,,juliojt,1,
917,How do I remap a button to spam left click for as long as I am holding it?,False,CLOSED,2024-07-03,2024-08-13,NGSpace,3,
918,SAVE THE REMAPPING TO FILE,False,OPEN,2024-07-05,,sk5268,2,
921,not loading on mx,False,CLOSED,2024-07-11,2024-07-13,johnclark-ops,2,
922,shift keys not being able to be swaped,False,OPEN,2024-07-13,,johnclark-ops,4,
924,"can't install in Steal deck, need flatpak",False,OPEN,2024-07-18,,mouarfff,1,
925,"mouse + keyboard combination remapping , especially when the mouse & keyboard is a different device",False,OPEN,2024-07-21,,Maziar123,2,
